30-Day Campaign Builder,"A strategic AI workflow that creates four weeks of content: Week 1 Awareness, Week 2 Education, Week 3 Proof, Week 4 Action."
A/B Testing,Comparing two versions of something to see which performs better.
Acceptable Use,The approved ways staff or users may use AI tools.
Access Control,"Rules that determine who can see, use or edit information."
Accessibility,"Designing content, tools and communication so they can be used by people with different abilities and needs."
Accessibility Check,Reviewing content to make sure people with different needs can use or understand it.
Accountability,The principle that humans and organisations remain responsible for decisions and outcomes involving AI.
Act–Explain–Please,"A simple prompting formula: tell AI who to act as, explain the situation, then ask clearly for what you want."
Action,"The task performed after a trigger, such as sending a reply, creating a task or updating a spreadsheet."
Action Items,Tasks that need to be completed after a meeting or review.
Action Plan,"A list of steps, owners and timelines for completing a goal."
Admin Console,"A management area where organisations control user access, settings and security."
Agent,"An AI system that can work through tasks in multiple steps, sometimes using tools or making decisions along the way."
Agentic AI,AI designed to take more initiative across a multi-step task rather than only answering one prompt.
AI / Artificial Intelligence,"Software that can perform tasks that usually require human intelligence, such as understanding language, recognising patterns, generating content, or helping with decisions."
AI Agent,"AI that can plan and act toward a goal, often using tools, files, search, code or other systems."
AI Governance,"Policies, processes and responsibilities that guide how an organisation uses AI."
AI Literacy,"The ability to understand, use and evaluate AI responsibly."
AI Maturity,"How advanced an organisation is in adopting, governing and benefiting from AI."
AI Policy,An organisation’s rules for how AI should and should not be used.
AI Slop,"Low-quality AI-generated content that feels generic, robotic, over-excited, cliché-heavy, inaccurate or careless."
AI Tool,"The app or product people use to interact with AI, such as ChatGPT, Gemini, Claude, Canva, Midjourney or Copilot."
AI Workflow,"A repeatable process where AI helps draft, summarise, analyse, classify, transform or check information."
Alignment,"The process of making an AI model behave in ways that are useful, safe and consistent with human intentions."
Anonymisation,Removing details that identify a person or organisation.
API / Application Programming Interface,A way for software systems to connect and exchange information.
Approval Gate,A required human check before an AI-assisted workflow continues.
Approval Workflow,A process for checking and approving content or decisions before release.
Aspect Ratio,"The shape of an image or video, such as 1:1 for square social posts, 9:16 for vertical video, or 16:9 for widescreen."
Attribution,Giving credit to the creator or source of content.
Audience,The person or group the content is intended for.
Audit Trail,"A record showing what was done, when, by whom and why."
Automation,Using technology to complete a task with little or no manual effort.
Automation Bias,The tendency to trust automated outputs too much.
Best Practice,"A recommended way of doing something based on experience, standards or evidence."
Bias,"A pattern in AI output that may unfairly favour, exclude or stereotype people, groups or ideas."
Brand Guidelines,"Rules for how a brand should look and sound, including logos, colours, fonts, tone and usage."
Brand Voice,"The consistent tone, language and style a business uses in communication."
Brand Voice Block,"A saved paragraph that describes your brand’s personality, tone, words and style. You paste it into prompts so AI sounds more like your business."
Briefing Note,"A concise document explaining an issue, context, options and recommended next steps."
Campaign,A coordinated sequence of marketing activities aimed at a specific goal.
Canva,"A design platform often used to create social posts, flyers, presentations, documents and branded marketing assets."
Caption,"Text that accompanies a social media image, video or post."
Case Study,"A detailed example showing how a product, service or project solved a problem."
Causation,When one thing directly causes another.
Change Management,"Helping people and organisations adopt new processes, behaviours or technologies."
Channel,"The platform or format where content will appear, such as email, LinkedIn, Instagram, Facebook, website, Google Business Profile or flyer."
Chart,"A visual display of data, such as a bar chart, line chart or pie chart."
Chatbot,A system that interacts with users through conversation.
ChatGPT Images,"Image generation and editing inside ChatGPT, useful for creating visual concepts, mockups, graphics and iterative image edits."
Cheat Sheet,"A quick reference guide that helps people remember a process, formula or checklist."
Citation,A reference showing where information came from.
Classification,Sorting information into categories.
Cliché,"An overused phrase that makes content feel generic, such as “in today’s fast-paced world” or “ever-evolving landscape.”"
Code Generation,AI creating programming code from instructions.
Cognitive Offloading,"Using AI to reduce mental workload, such as organising notes or summarising documents."
Confidential Information,"Information that should not be shared publicly, such as private customer details, staff records, business strategy or financial data."
Consent,"Permission to use someone’s data, image, voice or information."
Constraint,"A rule or limit included in the prompt, such as word count, tone, audience, format or things to avoid."
Consumer AI,"AI tools designed for general public use, usually with fewer organisation-level controls."
Content Calendar,"A schedule of planned posts, emails, campaigns or publications."
Content Hook,The opening idea or line designed to capture attention.
Context,"The background information you give AI so it understands the task, audience, tone, goal and constraints."
Context Window,"The amount of information an AI model can consider at one time. This includes your prompt, conversation history and sometimes files."
Conversion,"When someone takes a desired action, such as signing up, booking, buying or clicking."
Copilot,An AI assistant that works alongside a human in a tool or workflow.
Copyright,Legal rights protecting original creative works. AI-generated content may still require careful rights review.
Correlation,A relationship where two things appear to move together. Correlation does not prove causation.
Creative Direction,"Guidance on the look, feel, tone and purpose of creative work."
Crisis Comms,"Communication during a serious issue, outage, controversy or emergency."
Critique Prompt,"A prompt that asks AI to find weaknesses, risks, gaps or improvements in a draft."
CTA / Call to Action,"The specific instruction at the end of marketing content telling the audience what to do next, such as “Book a call,” “Shop now,” or “Download the guide.”"
Custom Instructions,"Saved instructions that tell an AI tool how you want it to respond, such as “always act as a professional marketing consultant.”"
Customer Journey,The experience a customer has from first discovering a business to becoming a repeat customer.
Customer Message,"A communication sent to customers, such as a welcome email, apology, reminder, offer or follow-up."
Customer Persona,"A detailed profile of an ideal buyer or audience segment, often including goals, needs, frustrations, objections and preferred channels."
Cutoff Date,The point after which an AI model may not know newer information unless it has web access or another live source.
DALL·E,"OpenAI’s image-generation model family, used to create images from text prompts."
Dashboard,"A visual summary of data, often using charts, KPIs and key insights."
Data Analysis,"Using AI to inspect information, find trends, explain patterns or create summaries."
Data Cleaning,Fixing or preparing data so it can be analysed properly.
Data Leakage,When private or sensitive information is accidentally exposed.
Data Privacy,"Protecting personal, sensitive or confidential information when using digital tools, including AI."
Data Quality,"How accurate, complete, consistent and useful data is."
Data Retention,How long a service keeps user data.
Data Visualisation,"Presenting data visually through charts, graphs, maps or dashboards."
Dataset,"A collection of data used for training, testing or analysing AI systems."
De-Identification,Removing or changing personal details so information is less likely to identify someone.
Debugging,Finding and fixing errors in code. AI can help explain and suggest fixes.
Decision Matrix,A table used to compare options against criteria.
Decision Support,"Using AI to help explore options, risks and trade-offs while humans make the final decision."
Deep Learning,A type of machine learning that uses large layered systems called neural networks to identify patterns in complex data.
Deepfake,Synthetic media that convincingly imitates a real person’s likeness or voice.
Deskilling,The risk that people may lose skills if they rely too much on automation.
Digital Literacy,"The broader ability to use digital tools, platforms and information effectively."
Digital Twin,"A digital representation of a person, process, organisation or system. In business AI, this can mean modelling how a company works."
Document Analysis,"AI reviewing documents to summarise, extract details, compare sections or suggest actions."
Due Date,The date by which an action should be completed.
Embedding,"A mathematical representation of meaning. It helps AI compare, search and group similar information."
Encryption,Protecting data by turning it into unreadable code unless someone has the key.
Engagement,"Interactions with content, such as likes, comments, shares, replies, clicks or time spent."
Enterprise AI,"AI tools designed for organisations, often with stronger security, admin controls and data protections."
Escalation,"Moving an issue to a higher level of responsibility when it is sensitive, urgent or risky."
Ethical AI,"AI use guided by fairness, accountability, transparency, safety and respect for people."
Executive Summary,A brief high-level summary for decision-makers.
Explainability,The ability to understand why an AI system produced a result.
Extraction,"Pulling specific details from content, such as dates, names, risks, action items or figures."
Fact-Checking,"Verifying whether claims, numbers, names, dates and sources are correct."
Fairness Check,"Reviewing AI output to see whether it could exclude, stereotype or disadvantage anyone."
Feedback Loop,A process where results or feedback are used to improve future performance.
Few-Shot Prompting,"Giving AI two or more examples so it can mimic the style, structure or format more accurately."
Final Approval,The point where a responsible person signs off on AI-assisted work.
Fine-Tuning,"Additional training that adjusts a model for a specific task, tone, domain or use case."
Format,"The structure of the answer, such as a table, checklist, captions, campaign plan, email, script or bullet list."
Format Prompting,"Telling AI exactly how to present the output, such as a table, checklist, email, script or action plan."
Foundation Model,A large general-purpose AI model that can be adapted to many different tasks.
From PDF to Action,"A workflow where AI extracts key points, risks, decisions and next steps from a long document or report."
Frontier Model,A highly advanced AI model at or near the leading edge of current capabilities.
Function Calling,A method that allows AI to call specific tools or software functions in a structured way.
Funnel,The stages someone moves through from awareness to interest to action or purchase.
"Garbage In, Garbage Out",The idea that poor input produces poor output. Bad data or vague prompts lead to weak AI results.
Generative AI / GenAI,"AI that creates new content, such as text, images, video, music, code, summaries or designs, rather than only analysing existing data. Think of it as a creative assistant."
Generative Fill,"AI-powered editing that fills in, replaces or extends part of an image."
Governance Framework,"A structured set of rules, roles and processes for safe AI adoption."
Grounding,Giving AI reliable source material so its answer is based on facts rather than guessing.
Guardrails,"Rules, limits or safety checks that guide how AI should behave."
Hallucination,"When AI confidently makes up facts, sources, names, dates or details that are not true. Always “trust, but check.”"
Hashtag,"A searchable keyword or phrase used on social platforms, usually marked with #."
Headline,The main title or opening line of a piece of content.
Human Review,"A person checking AI output before it is used, published, sent or acted on."
Human-in-the-Loop,"A workflow where humans review, approve or guide AI before important actions are taken."
Image Editing,"Using AI to alter an image, such as changing background, style, objects, colours or composition."
Image Generation,AI creating images from a text prompt or reference image.
Image Prompt,A descriptive instruction used to tell an image AI exactly what to create. A useful formula is Subject + Setting + Style + Mood + Details + Format.
Image Prompt Formula,A visual prompt structure: Subject + Setting + Style + Mood + Details + Format.
Image-to-Image,Creating or editing an image using another image as a reference.
Image-to-Video,Creating video from a still image.
Inclusive Language,"Language that avoids exclusion, stereotyping or unnecessary bias."
Inference,The moment when an AI model generates an answer from a prompt.
Inpainting,Editing or replacing a specific part of an image.
Input,"The information you give to AI, such as a prompt, document, image, spreadsheet or question."
Insight,A useful understanding drawn from information or data.
Integration,"Connecting AI to other tools or systems, such as Gmail, Google Drive, Canva, Slack, CRMs or databases."
Internal Comms,"Communication aimed at staff or internal stakeholders, such as updates, newsletters or announcements."
Iteration,Improving output through repeated rounds of feedback and refinement.
Jailbreak,A prompt designed to bypass an AI system’s safety rules or restrictions.
Knowledge Base,"A collection of documents, facts or resources that an AI system can use to answer questions."
KPI / Key Performance Indicator,A metric used to measure progress or performance.
Landing Page,A webpage designed for a specific campaign or conversion goal.
Lead,A potential customer or contact.
Licensing,"The rules that define how content, software, images, music or models may be used."
LLM / Large Language Model,"The “engine” behind tools like ChatGPT. It is trained on huge amounts of text to understand, summarise, reason and write in human-like language."
Low-Code,"Building systems with minimal coding, often using visual tools."
Machine Learning,A method where computers learn patterns from data rather than being explicitly programmed for every rule.
Marketing Prompt Formula,A structured way to write marketing prompts: Role + Business + Audience + Goal + Channel + Tone + Format.
Meeting Minutes,"A structured record of a meeting, including discussion points, decisions, actions, owners and deadlines."
Metadata,"Information about data, such as author, date, file type, location or tags."
Midjourney,"An AI image-generation tool often used for stylised, cinematic, artistic or highly polished visual concepts."
Model,"The AI system trained to perform a task. ChatGPT, Claude, Gemini, Midjourney and other AI tools are built around models."
Moodboard,"A collection of images, colours, typography and references that define a visual style."
Multimodal AI,"AI that can work with more than one type of input or output, such as text, images, audio, video or documents. For example, it might look at a photo and write a caption."
MVP / Minimum Viable Product,The simplest useful version of a product that can be tested with users.
Nano Banana / Nano Banana 2,"Google/Gemini image-generation and editing models used for creating and editing images, visual concepts and campaign assets."
Negative Instruction,"A prompt instruction telling AI what not to do, such as “avoid clichés” or “do not invent facts.”"
Negative Prompt,Instructions describing what should not appear in an AI-generated image.
Neural Network,"A computer system loosely inspired by the brain, made of layers that process information and detect patterns."
No-Code,"Building apps, automations or workflows without traditional programming."
OCR / Optical Character Recognition,Extracting text from images or scanned documents.
"One Idea, Five Posts","A repurposing method where one message becomes several platform-specific outputs, such as Instagram, Facebook, LinkedIn, email and Google Business Profile content."
One-Shot Prompting,Giving AI one example before asking it to perform a task.
Opt-Out of Training,A setting or policy that prevents user data from being used to train future models.
Outlier,A data point that is unusually different from the rest.
Outpainting,Extending an image beyond its original borders.
Output,The answer or content generated by AI.
Overclaiming,Making claims that go beyond what evidence supports. AI can accidentally overclaim if not checked.
Overreliance,Depending too heavily on AI without enough human judgement or verification.
Owner,The person responsible for completing an action item.
Parameters,Internal values learned by an AI model during training. They help determine how the model responds.
PDF Analysis,"AI reading PDF documents and turning them into summaries, insights, risks or action items."
Persona,A fictional but realistic profile of a target customer or audience segment.
Personal Data,"Information that can identify a person, such as names, emails, phone numbers, addresses or ID numbers."
Personalisation,"Tailoring AI output to a person, audience, brand, role or context."
Photorealistic,An image style that looks like a real photograph.
Pilot,A small test of a new tool or process before wider rollout.
Plain English,"Clear, simple writing designed to be easily understood."
Plain-Language Summary,A simplified explanation written for easy understanding.
Playbook,"A practical guide containing processes, examples, prompts, workflows and rules."
Policy Draft Helper,"A workflow that uses AI to structure, simplify or review policy drafts while keeping expert approval in place."
Policy Drafting,"Using AI to help create or improve policy structure, wording, summaries or review questions."
Post-Training,"Additional training after pre-training to make a model more helpful, safe, accurate or aligned with human expectations."
Pre-Training,The first major training stage where a model learns broad patterns from large amounts of data.
Productivity Gain,Time or effort saved by using a better tool or workflow.
Prohibited Use,"The tasks, data or decisions that should not be handled by AI."
Prompt,"The specific instruction, question or request you give to an AI tool."
Prompt Chain,A sequence of prompts where each output becomes the input for the next step. Useful when one prompt is not enough.
Prompt Chaining,The process of building an output step by step with multiple prompts.
Prompt Engineering,"The skill of writing clear, useful instructions that help AI produce better results."
Prompt Formula,A repeatable structure for writing better prompts.
Prompt Injection,An attack or trick where hidden or malicious instructions try to make an AI system ignore its original rules.
Prompt Library,A saved collection of useful prompts for repeated tasks.
Prompt Refinement,"Improving a prompt by adding more context, examples, constraints or formatting instructions."
Prompt Reuse,Saving a successful prompt so it can be used again.
Prompt Weight,A way of telling some image prompt elements to matter more than others.
Prompting,The act of giving instructions to AI. Better prompting usually leads to better outputs.
Proof Point,"Evidence that supports a marketing claim, such as a testimonial, statistic, case study or review."
Prototype,"An early working version of a product, app or idea."
Provenance,Information about where content came from and how it was created or edited.
Publishing Checklist,"A final review list used before sending, posting or publishing content."
Quality Assurance,"Checking work for accuracy, clarity, completeness and compliance before use."
RAG / Retrieval-Augmented Generation,"A method where AI retrieves information from documents, websites or databases before generating an answer."
Re-Engagement Email,A message designed to reconnect with customers who have not interacted recently.
Ready to Publish Check,"A practical check covering accuracy, brand voice, CTA, visuals, links, accessibility, rights and audience fit."
Reasoning Model,"A model designed to spend more effort on complex problems, logic, planning or multi-step tasks."
Recommendation,A suggested action or choice generated by AI or analysis.
Red Teaming,"Testing an AI system by trying to find weaknesses, risks or unsafe behaviours."
Redaction,Removing or hiding sensitive information from a document or prompt.
Regeneration,Asking AI to create a new version of an output.
Representation,"How people, groups or communities are portrayed in content or data."
Repurposing,"Using AI to turn one big idea into many smaller pieces of content, such as social posts, emails, scripts and captions."
Responsible AI,"The practice of using AI safely, fairly, transparently and with human oversight."
Review Loop,"A repeated process of draft, review, improve and finalise."
Review Reply,"A response to a customer review, ideally calm, professional, helpful and privacy-safe."
Rights Check,"Reviewing whether you have permission to use images, music, text, designs, logos or other content."
Risk Assessment,Identifying what could go wrong and how serious it could be.
Risk Mitigation,Steps taken to reduce the likelihood or impact of problems.
Risk Register,"A document listing risks, likelihood, impact, owners and mitigation steps."
Roadmap,"A high-level plan showing stages, priorities and timing."
ROI / Return on Investment,The value gained from an investment compared with its cost.
Role Prompting,"Asking AI to act as a particular expert, such as a marketing strategist, copywriter, data analyst or customer service advisor."
Safe AI,"Using AI in a way that protects privacy, confidential information, accuracy, fairness and human responsibility."
Sample Size,The number of examples or records used in analysis. Small samples can be misleading.
Scale,"Expanding a successful AI use case to more people, teams or processes."
Second Opinion Technique,"Asking AI to critique, challenge or improve its own output before you use it."
Seed,A number used to influence image generation. Reusing a seed can help create similar results.
Semantic Search,Search based on meaning rather than exact keywords.
Sensitive Data,"Higher-risk personal or business information, such as health, financial, legal, employment or identity information."
Sentiment,"The emotional tone or attitude expressed in text, feedback or reviews."
Sentiment Analysis,"Estimating whether text is positive, negative, neutral or mixed."
Shadow AI,"When staff use AI tools without organisational approval, visibility or governance."
Shot List,A structured list of shots needed for filming or video generation.
Single Sign-On / SSO,A login method that lets employees use one organisation-approved account to access tools.
Social Listening,"Monitoring what people are saying online about a brand, topic, competitor or community."
Source of Truth,"The most reliable place to verify information, such as an official policy, database, contract or approved document."
Speech-to-Text,Turning spoken audio into written words.
Stakeholder Comms,"Communication with groups who have an interest in a project or decision, such as residents, customers, councillors, partners, suppliers or staff."
Stakeholder Email,"A structured email written for a specific audience, such as residents, councillors, vendors, partners or internal teams."
Standard Operating Procedure / SOP,A documented process that explains how to complete a task consistently.
Storyboard,"A sequence of planned visual shots for a video, animation or campaign."
Structured Data,"Data organised in a predictable format, such as spreadsheet rows and columns."
Style Reference,An image or description used to guide the visual style of generated images.
Style Transfer,"Changing content from one style to another, such as making text warmer, simpler, more formal or more on-brand."
Summarisation,Turning longer content into a shorter version that keeps the key points.
Synthetic Data,Artificially generated data that imitates real data without directly exposing real people or records.
Synthetic Media,"Media created or altered by AI, such as images, video, voices or avatars."
System Prompt,A high-level instruction that shapes how an AI assistant should behave.
Template,"A reusable structure for a document, email, prompt, campaign, report or workflow."
Testimonial,A positive statement from a customer or client about their experience.
Text-Aware AI,"AI image generators that are better at placing actual readable words inside an image, useful for posters, graphics and mockups."
Text-to-Image,Creating an image from a written description.
Text-to-Speech,Turning written text into spoken audio.
Text-to-Video,Creating video from a written prompt.
Token,"A small unit of text processed by an AI model. One token is roughly three-quarters of a word. Models have token limits, which affect how much they can handle in one conversation."
Token Limit,"The maximum amount of text an AI model can process at once, including your prompt, previous messages and uploaded content."
Tone,"The feeling or attitude of writing, such as friendly, formal, calm, confident, playful or apologetic."
Tool Use,"When an AI system uses external tools, such as web search, calculators, calendars, email, code execution or file analysis."
Training Data,"The information used to train an AI model, such as text, images, code or other examples."
Transcription,Converting speech or audio into written text.
Translation,Converting text from one language to another.
Transparency,Being clear about when and how AI is used.
Trend,A pattern or direction of change over time.
Trigger,"An event that starts an automation, such as receiving an email or submitting a form."
Unstructured Data,"Data without a fixed structure, such as emails, documents, images, videos or notes."
Upscaling,"Using AI to make an image larger, sharper or higher-resolution."
Upskilling,"Learning new skills, often to adapt to new tools or workplace changes."
Use Case,A specific practical example of how AI can be used.
User Prompt,The instruction entered by the user.
Value Proposition,"A clear statement explaining why someone should choose your product, service or offer."
Vector,"A list of numbers that represents information, often used in AI search and similarity matching."
Verification,"The process of checking AI output against trusted sources, data or human expertise."
Vibe Coding,Using AI to help create software or apps by describing what you want in natural language.
Video Generation,"AI creating video from text, images or other inputs."
Virtual Assistant,"AI that helps with tasks such as writing, planning, scheduling, summarising or answering questions."
Visual Brief,"Instructions for creating an image or design, including subject, setting, style, mood, details and format."
Voice AI,"AI that can understand, generate or interact using speech."
Watermark,"A visible or invisible marker showing content origin, ownership or authenticity."
Welcome Sequence,"A series of emails or messages sent to new subscribers, customers or leads."
Workflow,A repeatable process made of steps. AI can assist with one or more steps.
Zero-Shot Prompting,Asking AI to do a task without giving it any examples.